data,position
"[0,0,0,0,3,1,0,0,0,0,0,0,0,1,2,4,2,0,0,0,0,2,45,57,61,19,2,0,0,0,0,36,60,8,23,6,0,0,0,0,0,1,1,26,18,1,0,0,0,0,0,0,1,18,21,1,0,0,0,0,0,0,2,26,19,4,0,0,0,0,0,0,1,17,46,61,2,0,0,0,1,0,2,34,76,41,1,0,0,0,0,0,4,32,21,2,0,0,0,0,0,0,9,37,14,1,0,0,0,0,0,0,2,30,7,1,0,0,0,0,0,0,0,10,35,7,0,0,0,0,0,0,0,1,4,38,1,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,1,1,1,2,0]",3
"[0,0,0,0,3,1,0,0,0,0,0,0,0,1,2,3,1,0,0,0,0,3,46,56,60,19,2,0,0,0,2,37,59,9,23,6,0,0,0,0,0,1,2,29,19,1,0,0,0,0,1,0,1,20,21,1,0,0,0,0,0,0,2,26,18,3,0,0,0,0,0,0,1,19,46,60,1,0,0,0,1,0,2,34,75,42,1,0,0,0,0,0,4,32,21,2,0,0,0,0,3,8,15,36,14,1,0,0,0,0,0,0,2,31,6,1,0,0,0,0,0,0,0,11,36,7,0,0,0,0,0,0,0,1,5,38,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,1,1,1,2,0]",3
"[0,0,0,0,2,2,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,3,47,55,59,20,2,0,0,0,2,36,59,10,23,6,0,0,0,0,0,1,2,32,19,1,0,0,0,0,1,0,1,21,22,1,0,0,0,0,0,0,2,25,19,3,0,0,0,0,0,0,1,20,46,58,1,0,0,0,0,0,2,34,74,42,1,0,0,0,0,0,3,31,21,2,0,0,0,0,4,23,20,36,14,1,0,0,0,0,0,1,3,31,6,0,0,0,0,0,0,0,1,15,36,7,0,0,0,0,0,0,0,0,5,37,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,1,1,1,0]",3
"[0,0,0,0,3,1,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,3,46,55,60,20,2,0,0,0,2,37,59,9,24,6,0,0,0,0,0,1,2,33,20,2,0,0,0,0,1,0,1,22,22,2,0,0,0,0,0,0,2,25,20,3,0,0,0,0,0,0,1,21,46,54,1,0,0,0,0,0,2,34,74,41,1,0,0,0,0,0,4,30,20,2,0,0,0,0,6,16,19,36,10,1,0,0,0,0,1,0,4,30,5,0,0,0,0,0,0,0,1,18,37,8,0,0,0,0,0,0,0,0,5,35,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,1,1,2,0]",3
"[0,0,0,0,3,1,0,0,0,0,0,0,0,2,2,3,0,0,0,0,0,3,47,55,60,20,2,0,0,0,2,37,58,9,24,6,0,0,0,0,0,1,2,32,20,2,0,0,0,0,1,0,2,21,22,2,0,0,0,0,0,0,2,26,20,3,0,0,0,0,0,0,1,21,46,56,1,0,0,0,0,0,2,34,73,39,1,0,0,0,0,0,4,30,20,2,0,0,0,0,6,17,20,36,10,1,0,0,0,0,1,0,4,30,5,0,0,0,0,0,0,0,1,19,37,7,0,0,0,0,0,0,0,0,6,35,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,1,1,1,2,0]",3
"[0,0,0,0,3,1,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,3,47,55,59,20,2,0,0,0,1,37,58,9,23,7,0,0,0,0,0,1,2,34,21,1,0,0,0,0,1,0,1,22,22,2,0,0,0,0,0,0,2,26,20,3,0,0,0,0,0,0,2,21,47,59,1,0,0,0,0,0,2,34,72,41,1,0,0,0,0,0,4,30,20,2,0,0,0,0,1,20,20,36,11,1,0,0,0,0,0,1,4,31,6,0,0,0,0,0,0,0,1,19,36,8,0,0,0,0,0,0,0,1,5,37,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,1,1,1,2,0]",3
"[0,0,0,0,3,2,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,3,48,55,59,20,2,0,0,0,0,37,58,9,23,7,0,0,0,0,0,1,1,34,21,2,0,0,0,0,1,0,2,22,22,2,0,0,0,0,0,0,2,26,19,3,0,0,0,0,0,0,1,19,47,61,1,0,0,0,0,0,2,34,71,41,1,0,0,0,0,0,3,30,21,2,0,0,0,0,0,21,19,35,12,1,0,0,0,0,0,1,4,31,7,0,0,0,0,0,0,0,1,20,36,8,0,0,0,0,0,0,0,1,5,37,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,1,1,1,0]",3
"[0,0,0,0,3,2,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,3,50,55,60,19,2,0,0,0,0,33,56,8,24,7,0,0,0,0,0,1,2,34,21,2,0,0,0,0,1,0,1,22,21,2,0,0,0,0,0,0,2,26,19,3,0,0,0,0,0,0,1,20,46,62,1,0,0,0,0,0,2,34,71,41,1,0,0,0,0,0,3,29,21,2,0,0,0,0,0,22,19,36,13,1,0,0,0,0,0,0,4,31,6,1,0,0,0,0,0,0,1,21,36,8,0,0,0,0,0,0,0,0,6,37,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,1,1,1,1,0]",3
"[0,0,0,0,3,2,0,0,0,0,0,0,0,2,2,3,1,0,0,0,0,3,50,54,60,19,2,0,0,0,0,34,54,9,24,7,0,0,0,0,0,1,2,34,21,2,0,0,0,0,1,0,2,22,22,1,0,0,0,0,0,0,2,26,19,4,0,0,0,0,0,0,1,20,46,61,1,0,0,0,0,0,2,34,70,41,1,0,0,0,0,0,3,30,20,2,0,0,0,0,1,23,20,36,12,2,0,0,0,0,0,0,4,30,6,0,0,0,0,0,0,0,1,23,37,8,0,0,0,0,0,0,0,1,6,37,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,0,1,1,1,2,0]",3
"[0,0,0,0,3,2,0,0,0,0,0,0,0,2,3,4,3,0,0,0,0,3,50,54,60,19,2,0,0,0,1,33,55,10,24,7,0,0,0,0,0,1,2,33,22,2,0,0,0,0,1,0,2,22,22,2,0,0,0,0,0,0,2,26,20,3,0,0,0,0,0,0,1,20,46,61,1,0,0,0,0,0,2,33,69,41,1,0,0,0,0,0,3,28,21,2,0,0,0,0,2,24,20,36,12,1,0,0,0,0,0,0,4,31,6,0,0,0,0,0,0,0,1,24,37,8,0,0,0,0,0,0,0,1,6,36,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,1,1,0]",3
