data,position
"[1,0,19,4,3,20,7,3,1,0,0,0,9,40,40,63,24,0,0,0,0,0,1,13,5,51,60,1,0,0,0,0,1,1,8,53,53,1,0,0,0,0,0,5,48,33,48,0,0,0,0,0,0,3,50,54,52,0,0,0,0,0,0,2,42,87,102,1,0,0,0,0,0,6,67,87,84,1,0,0,0,0,1,61,91,42,11,1,0,0,0,0,1,96,53,5,2,1,0,0,0,0,0,52,63,33,5,2,0,0,0,0,0,2,5,13,19,74,2,1,0,0,0,0,0,0,0,14,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0]",3
"[1,0,19,4,3,20,7,3,1,0,0,0,9,40,40,64,24,0,0,0,0,0,1,14,5,51,60,1,0,0,0,0,0,1,8,54,53,0,0,0,0,0,0,6,46,33,48,0,0,0,0,0,0,3,50,54,52,1,0,0,0,0,0,3,42,86,102,1,0,0,0,0,0,6,67,87,83,1,0,0,0,0,1,61,91,42,11,1,0,0,0,0,0,94,53,6,2,1,0,0,0,0,0,53,63,33,5,2,0,0,0,0,0,2,6,13,20,76,2,1,0,0,0,0,0,0,0,14,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0]",3
"[1,0,18,4,3,20,7,3,1,0,0,0,9,41,40,63,24,0,0,0,0,0,1,13,5,52,60,1,0,0,0,0,1,1,8,53,54,0,0,0,0,0,0,5,47,33,49,0,0,0,0,0,0,3,51,54,51,0,0,0,0,0,0,3,42,86,102,1,0,0,0,0,0,6,67,87,84,1,0,0,0,0,1,61,91,42,11,1,0,0,0,0,1,94,52,6,2,1,0,0,0,0,0,53,64,33,6,2,0,0,0,0,0,2,5,13,19,81,2,1,0,0,0,0,0,0,0,14,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0]",3
"[1,0,17,4,3,21,7,3,0,0,0,0,9,41,40,63,24,0,0,0,0,0,1,14,5,52,60,1,0,0,0,0,0,1,8,54,53,1,0,0,0,0,0,6,46,34,48,0,0,0,0,0,0,3,52,54,52,0,0,0,0,0,0,2,43,87,102,1,0,0,0,0,0,6,67,88,83,1,0,0,0,0,1,60,91,41,12,1,0,0,0,0,0,95,52,5,2,1,0,0,0,0,0,53,63,33,6,2,0,0,0,0,0,2,5,13,19,83,2,1,0,0,0,0,0,0,0,14,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0]",3
"[1,0,14,4,3,21,7,3,1,0,0,0,8,41,39,63,24,0,0,0,0,0,1,13,5,51,61,1,0,0,0,0,0,1,8,54,53,0,0,0,0,0,0,5,47,33,47,0,0,0,0,0,0,3,53,54,52,0,0,0,0,0,0,2,43,87,102,1,0,0,0,0,0,6,67,87,84,1,0,0,0,0,1,60,91,42,12,1,0,0,0,0,1,95,53,4,2,1,0,0,0,0,0,53,64,33,6,2,0,0,0,0,0,2,5,13,20,83,2,1,0,0,0,0,0,0,0,14,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0]",3
"[1,0,15,4,3,21,7,3,0,0,0,0,8,41,39,63,24,0,0,0,0,0,1,14,5,51,60,1,0,0,0,0,0,1,8,54,53,0,0,0,0,0,0,6,47,33,49,1,0,0,0,0,0,3,52,54,51,0,0,0,0,0,0,3,44,87,102,1,0,0,0,0,0,6,67,87,84,1,0,0,0,0,1,60,91,41,12,0,0,0,0,0,0,95,52,4,2,1,0,0,0,0,0,53,63,33,6,2,0,0,0,0,0,2,5,13,20,83,3,1,0,0,0,0,0,0,0,14,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0]",3
"[1,0,17,4,3,21,7,3,1,0,0,0,9,41,39,63,24,0,0,0,0,0,1,14,5,51,59,1,0,0,0,0,0,1,8,54,53,0,0,0,0,0,0,6,47,33,49,0,0,0,0,0,0,3,52,54,51,0,0,0,0,0,0,2,44,87,102,1,0,0,0,0,0,6,67,87,85,1,0,0,0,0,1,60,91,42,12,0,0,0,0,0,0,95,52,4,2,1,0,0,0,0,0,53,63,33,6,2,0,0,0,0,0,2,6,13,20,84,3,1,0,0,0,0,0,0,0,14,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0]",3
"[1,0,17,4,3,21,7,3,1,0,0,0,9,42,39,62,24,0,0,0,0,0,1,14,6,52,60,1,0,0,0,0,0,1,8,54,53,1,0,0,0,0,1,5,47,33,49,0,0,0,0,0,0,3,53,54,51,0,0,0,0,0,0,3,44,88,102,1,0,0,0,0,0,6,67,87,84,1,0,0,0,0,1,60,90,42,11,1,0,0,0,0,0,94,53,4,2,1,0,0,0,0,0,53,63,33,6,2,0,0,0,0,0,2,5,13,20,84,2,1,0,0,0,0,0,0,0,14,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0]",3
"[1,0,17,4,3,21,7,3,0,0,0,0,9,42,39,63,24,0,0,0,0,0,2,13,6,52,60,1,0,0,0,0,0,1,8,54,53,0,0,0,0,0,0,5,47,32,49,0,0,0,0,0,1,3,53,54,52,0,0,0,0,0,0,2,44,88,102,1,0,0,0,0,0,6,67,87,85,1,0,0,0,0,1,60,90,42,11,1,0,0,0,0,1,94,53,5,2,1,0,0,0,0,0,53,63,33,5,2,0,0,0,0,0,2,5,13,20,84,2,1,0,0,0,0,0,0,0,14,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0]",3
"[1,0,17,4,3,21,7,3,1,0,0,0,9,42,40,63,24,0,0,0,0,0,1,14,6,52,61,1,0,0,0,0,0,1,8,54,53,1,0,0,0,0,0,6,47,32,49,1,0,0,0,0,1,3,52,53,51,0,0,0,0,0,0,2,45,87,102,1,0,0,0,0,0,6,68,87,84,1,0,0,0,0,1,60,90,42,11,1,0,0,0,0,1,94,53,5,2,1,0,0,0,0,0,53,63,33,5,2,0,0,0,0,0,2,5,13,20,84,3,1,0,0,0,0,0,0,0,14,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0]",3
