timestamp,data
2024-09-02 16:50:20.353,"2,6,4,16,6,1,9,2,2,3,3,19,15,27,16,15,4,15,1,0,25,38,20,13,16,34,34,6,2,1,96,132,69,52,6,7,25,22,9,10,99,108,93,85,43,4,3,2,2,2,100,112,178,44,21,4,4,1,1,10,36,53,46,16,11,10,6,9,4,5,7,6,17,4,3,1,10,7,6,14,10,5,5,3,2,6,1,0,1,0,9,4,7,4,4,2,0,0,1,0,1,0,1,4,4,5,1,0,4,4,1,0,0,1,1,1,1,3,4,1,2,0,0,5,4,6,2,1,7,4,4,0,0,12,10,3,3,5,3,18,1,0,0,0,0,2,2,0,1,6,3,0,1,1,0,31,5,0,0,12"
2024-09-02 16:50:20.430,"1,6,4,16,6,2,9,2,2,2,2,18,15,26,16,15,4,15,1,0,25,38,20,13,16,34,34,7,2,1,96,132,69,53,6,7,25,22,9,9,99,108,93,85,43,4,3,3,1,2,100,112,178,44,22,4,5,1,2,10,36,53,46,17,10,10,5,9,4,6,8,6,17,4,3,1,10,7,6,14,10,5,6,4,2,6,1,0,1,0,9,4,7,4,4,2,0,0,1,1,1,0,1,4,4,5,1,0,4,4,1,0,0,0,1,1,1,3,4,1,2,0,0,4,4,6,2,1,7,4,4,0,0,12,10,3,3,5,3,18,1,0,0,0,0,2,2,0,0,6,3,0,1,1,0,30,4,0,0,12"
2024-09-02 16:50:20.519,"2,6,4,16,7,1,9,2,2,3,3,19,15,27,16,15,4,16,1,0,25,38,20,13,16,34,35,7,2,1,96,133,68,53,6,7,25,21,9,10,99,108,93,85,43,4,3,2,2,2,100,112,177,41,21,4,5,1,1,10,36,52,46,16,10,10,5,9,4,5,8,6,17,4,3,1,10,7,6,14,10,5,6,3,2,6,1,0,1,0,9,4,7,4,4,2,1,0,1,1,1,0,1,4,4,5,1,0,4,4,1,0,0,0,1,1,1,3,4,1,2,0,0,5,4,6,2,1,7,3,4,0,0,12,10,3,3,5,3,18,1,0,0,0,0,2,2,0,0,6,3,0,1,1,0,30,4,0,0,12"
2024-09-02 16:50:20.602,"1,6,4,16,6,2,9,2,2,3,3,18,15,26,17,14,4,15,1,0,25,38,20,13,16,34,34,7,2,1,96,132,69,53,7,7,25,22,9,9,96,108,93,85,43,4,3,2,2,2,101,112,178,41,21,4,5,1,2,10,36,52,46,17,10,10,6,9,4,5,7,6,17,4,3,1,10,7,6,14,10,5,6,4,2,7,1,0,1,1,9,4,7,4,3,2,1,0,1,1,1,0,1,4,4,5,1,0,4,4,1,0,0,0,1,1,2,3,4,1,1,0,0,5,3,6,2,1,7,3,4,0,0,12,10,4,3,4,3,18,1,0,0,0,0,2,2,0,0,6,3,0,1,1,0,30,4,0,0,13"
2024-09-02 16:50:20.675,"1,6,4,16,6,2,9,2,3,3,3,19,15,27,17,14,4,15,1,0,25,38,20,13,16,34,34,7,2,1,97,132,69,51,7,7,25,22,9,10,95,108,93,86,42,4,3,3,1,2,101,112,178,41,22,4,5,1,2,10,36,52,46,17,10,10,5,9,4,5,8,6,17,4,3,1,10,7,6,15,10,5,6,4,2,7,1,0,1,1,10,4,7,4,4,2,1,0,2,1,1,0,1,4,4,5,1,0,4,4,1,0,0,0,1,1,2,3,4,1,2,0,0,5,4,6,2,1,7,3,4,0,0,12,10,4,3,5,3,18,1,0,0,0,0,2,2,0,0,6,3,0,2,0,1,30,5,0,1,12"
2024-09-02 16:50:20.779,"1,6,4,16,7,1,9,2,2,3,2,19,15,27,17,14,4,16,1,0,25,38,20,13,16,34,34,7,2,1,97,132,69,52,7,7,24,22,9,9,95,108,93,86,43,4,3,3,1,2,101,113,178,40,22,4,5,1,2,10,36,53,46,17,10,10,6,9,4,6,8,6,16,4,3,1,10,7,6,15,10,5,6,4,2,7,1,0,1,1,9,4,7,4,3,2,1,0,2,1,1,0,1,4,4,5,1,0,4,4,1,0,0,0,1,1,2,3,4,1,2,0,0,5,4,6,2,1,7,3,4,0,0,12,10,4,3,5,3,18,1,0,0,0,0,2,2,0,0,6,3,0,2,0,1,30,5,0,1,12"
2024-09-02 16:50:20.849,"1,6,4,16,7,1,9,2,2,2,3,18,15,27,17,15,4,16,1,0,25,38,20,13,16,34,35,7,2,1,97,132,69,52,7,7,24,22,9,9,93,108,93,85,43,4,3,3,2,2,101,112,178,41,22,4,5,1,2,10,36,52,46,17,10,10,6,9,4,5,7,6,16,4,2,1,10,7,6,15,10,5,5,4,2,6,1,0,1,1,9,4,7,4,3,2,0,0,2,1,1,0,0,4,4,5,1,0,4,4,1,0,0,0,1,1,1,3,4,1,2,0,0,4,4,6,2,1,7,3,4,0,0,12,10,3,3,5,3,18,1,0,1,0,0,2,2,0,0,6,3,0,1,1,0,31,5,0,0,13"
2024-09-02 16:50:20.925,"1,6,4,16,6,2,9,2,2,2,3,19,15,27,17,14,4,16,1,0,25,38,20,13,16,34,35,7,2,1,97,133,69,52,6,7,24,21,9,10,92,108,93,86,42,4,3,3,2,2,101,112,178,42,22,5,4,1,2,10,36,52,46,16,10,10,6,9,4,5,7,6,16,4,3,1,10,7,6,14,10,5,6,4,2,7,1,0,1,1,10,4,7,4,4,2,1,0,2,0,1,0,0,4,4,5,1,0,4,4,1,0,0,0,1,1,1,3,4,1,1,0,0,4,4,6,2,1,7,3,4,0,0,12,10,4,3,5,3,18,1,0,0,0,0,2,2,0,0,6,3,0,2,1,1,30,5,0,1,12"
2024-09-02 16:50:21.026,"1,6,4,16,6,2,9,2,2,3,3,19,15,27,17,14,4,15,1,0,25,38,20,13,16,34,35,7,2,1,97,132,70,52,7,7,24,22,9,10,92,108,93,85,42,4,3,3,2,2,101,113,178,41,22,5,5,1,1,10,36,52,46,17,10,10,6,9,4,5,7,6,16,4,3,1,10,7,6,15,10,5,6,4,2,7,1,0,1,1,10,4,7,4,4,2,1,0,2,1,1,0,0,4,4,5,1,0,5,4,1,0,0,0,1,1,1,3,4,1,2,0,0,4,4,6,2,1,7,3,4,0,0,12,10,4,3,5,3,17,1,0,1,0,0,2,2,0,0,6,3,0,1,1,0,31,4,0,0,12"
2024-09-02 16:50:21.107,"1,6,4,16,6,2,9,2,2,3,2,19,15,27,17,15,4,15,1,0,25,38,20,13,15,33,35,6,2,1,97,132,70,51,6,8,24,22,9,9,92,108,93,86,42,4,3,3,2,2,102,112,178,42,23,4,5,1,2,10,37,52,46,16,10,10,6,9,4,5,8,6,17,4,3,1,11,7,6,14,10,5,6,3,2,6,1,0,2,0,9,4,7,4,4,2,1,0,2,1,1,0,0,4,4,5,1,1,4,4,1,0,0,0,1,1,1,3,4,1,2,0,0,4,4,6,2,1,7,3,4,0,0,12,10,4,3,4,3,17,1,0,0,0,0,2,2,0,0,6,3,0,2,1,1,30,5,0,0,12"
