timestamp,data
2024-09-02 16:57:02.897,"7,9,3,10,16,29,36,11,8,7,4,15,10,26,50,53,48,73,63,44,2,3,2,7,12,35,61,50,7,5,2,3,1,2,5,36,60,42,3,83,8,10,2,4,4,30,53,36,2,2,4,3,1,2,9,78,48,25,14,2,7,13,11,5,20,80,52,41,7,4,4,4,1,4,25,59,54,24,30,3,19,9,1,8,3,20,61,51,49,5,6,6,0,1,0,1,9,53,69,37,7,7,0,1,1,0,0,8,60,36,7,4,0,2,0,1,7,5,32,14,13,5,0,1,1,1,3,30,82,5,13,5,0,1,2,0,1,43,39,9,3,2,0,1,0,0,2,36,1,2,4,2,0,17,0,0,6,3,1,0"
2024-09-02 16:57:02.972,"7,10,4,10,16,28,36,11,8,7,4,14,10,28,50,53,48,72,63,44,2,3,2,7,12,36,62,50,8,6,3,3,2,2,5,36,60,42,3,82,8,11,2,4,4,30,53,35,2,2,4,3,1,1,9,78,48,26,13,2,7,13,13,5,21,80,53,41,7,5,4,4,1,4,27,59,55,24,31,2,19,9,1,8,3,20,61,52,50,4,6,6,0,1,0,1,9,53,69,37,6,7,0,1,1,0,0,8,59,36,7,4,0,2,1,1,8,5,32,13,14,5,0,1,0,1,3,30,82,5,14,5,0,1,2,0,2,43,39,9,3,2,0,1,0,0,2,36,1,1,4,2,0,17,0,1,5,3,1,1"
2024-09-02 16:57:03.063,"7,9,3,10,16,26,34,10,8,7,4,15,10,26,48,53,47,72,62,44,2,3,2,7,12,35,62,50,8,5,3,3,2,2,5,36,59,42,3,82,8,11,2,4,4,30,53,35,2,2,4,4,1,1,9,78,48,26,13,2,7,13,13,5,21,80,53,41,7,6,4,4,1,4,27,59,55,24,31,3,19,9,1,9,3,21,61,52,49,4,6,6,0,1,0,1,9,53,69,36,6,7,0,2,1,0,0,8,60,37,7,3,0,2,0,1,7,5,32,13,14,4,0,1,1,1,3,30,82,5,14,5,0,2,1,0,2,43,39,9,3,2,0,1,0,0,2,37,1,2,5,3,0,17,0,0,6,3,1,0"
2024-09-02 16:57:03.149,"7,9,3,10,17,26,37,10,8,7,4,14,10,25,50,53,47,71,62,44,2,3,2,7,12,36,62,50,7,6,2,3,2,2,5,36,58,43,3,82,8,11,2,5,4,31,53,35,1,2,4,3,1,1,11,79,48,26,14,1,7,13,13,6,20,80,53,41,7,6,4,4,1,4,27,59,54,24,31,2,20,9,1,9,3,21,61,52,49,5,6,6,0,1,0,1,9,53,69,37,7,6,0,2,1,0,0,8,59,37,7,3,0,2,1,1,8,5,32,13,14,5,0,1,1,1,3,30,82,6,13,5,0,1,1,0,2,43,39,9,3,2,0,1,0,0,2,36,1,2,5,2,0,17,0,0,6,3,1,0"
2024-09-02 16:57:03.279,"7,10,3,12,18,31,37,10,8,7,4,14,10,29,49,53,48,71,61,44,2,3,2,7,12,37,62,51,8,5,3,3,2,2,5,36,59,45,3,82,8,12,2,4,4,30,53,35,2,2,4,4,1,2,13,78,48,26,14,2,7,13,13,5,20,79,53,41,8,6,3,4,1,4,27,58,54,24,31,2,19,9,1,9,4,20,61,51,49,5,6,6,0,1,0,1,9,53,69,38,7,7,0,2,1,0,0,8,60,37,7,4,0,2,1,1,8,5,32,14,14,5,0,2,0,1,3,30,83,5,14,5,0,1,2,0,2,43,39,9,3,2,0,1,0,0,2,36,1,2,4,2,0,17,0,1,6,3,1,0"
2024-09-02 16:57:03.304,"7,10,3,12,18,31,37,10,8,7,4,14,10,29,49,53,48,69,61,44,2,3,2,6,12,37,62,51,7,5,3,3,2,2,5,36,59,44,3,82,9,11,2,4,4,31,52,35,2,2,4,3,1,2,13,78,48,26,14,3,7,13,13,5,20,79,53,41,8,6,4,4,1,4,27,58,55,24,32,2,19,9,1,9,3,21,61,52,49,5,6,6,0,0,0,1,9,53,69,39,6,7,0,1,1,0,1,8,60,38,7,3,0,2,1,1,8,5,32,14,14,4,0,1,1,1,3,31,82,6,14,5,0,1,2,0,2,43,39,9,3,2,0,1,0,0,2,36,1,2,4,2,0,17,0,1,6,3,1,1"
2024-09-02 16:57:03.397,"7,10,3,12,18,29,36,10,8,7,3,14,9,27,47,53,48,68,61,45,1,3,2,7,12,37,62,51,7,5,3,3,1,2,5,36,59,45,3,82,9,12,2,4,4,31,53,35,2,2,4,4,1,2,13,78,48,26,14,3,7,13,13,5,21,79,53,41,8,6,3,4,1,4,27,58,54,24,32,3,19,9,1,9,4,21,61,52,50,5,6,6,0,1,0,1,9,53,69,39,7,7,0,2,1,0,0,8,60,38,7,4,0,2,1,1,8,5,32,14,14,5,0,1,0,1,3,31,82,5,14,5,0,1,2,0,2,43,39,10,3,2,0,1,0,0,2,37,1,1,4,2,0,17,0,1,6,3,1,0"
2024-09-02 16:57:03.473,"7,10,4,12,18,30,36,10,8,7,4,14,9,27,48,53,48,68,61,46,2,3,2,7,12,37,62,51,7,5,3,3,2,2,5,36,59,46,3,83,8,11,2,4,4,31,53,35,1,3,4,4,1,2,9,78,48,26,14,2,7,14,13,5,21,80,53,41,8,6,4,4,1,4,27,58,54,24,32,2,19,9,1,9,3,21,61,52,49,5,6,6,0,1,1,1,10,53,69,37,6,7,0,1,1,0,0,8,60,37,7,4,0,2,1,1,8,5,32,13,13,4,0,1,0,1,3,31,82,6,14,5,0,1,2,0,2,43,39,9,3,2,0,1,0,0,2,37,1,1,4,2,0,17,0,1,6,3,1,0"
2024-09-02 16:57:03.565,"7,10,4,12,19,25,37,10,8,7,4,14,9,27,48,53,48,68,61,46,2,3,2,7,12,37,63,51,7,5,3,3,2,2,5,36,60,46,3,83,9,12,2,4,4,31,52,35,1,3,4,4,1,2,8,79,48,26,14,2,7,14,13,6,21,80,53,41,8,6,4,4,1,5,28,59,54,24,32,2,19,9,1,9,3,21,61,52,49,5,6,6,0,1,1,1,10,52,69,37,6,6,0,1,1,0,0,8,60,37,7,3,0,2,0,1,8,5,32,14,14,4,0,1,1,1,3,31,82,6,14,5,0,1,1,0,2,43,39,9,3,2,0,1,0,0,2,37,1,2,5,2,0,17,0,0,6,3,1,0"
2024-09-02 16:57:03.643,"7,10,3,12,18,26,36,10,8,7,4,14,10,28,49,53,49,68,61,46,2,3,2,7,12,37,63,51,7,5,2,3,2,2,5,36,59,46,3,82,9,12,2,4,4,31,52,35,2,2,4,4,1,2,9,78,48,27,14,2,7,13,13,6,21,80,53,41,8,6,4,4,1,4,29,59,54,24,32,2,20,9,1,9,4,21,61,52,49,5,6,6,0,0,0,1,9,52,69,36,7,7,0,2,1,0,0,8,60,37,7,3,0,2,1,0,8,5,32,13,13,5,0,1,0,1,3,30,82,6,14,4,0,1,2,0,2,43,38,9,3,2,0,1,0,0,2,36,1,1,4,2,0,17,0,1,6,3,1,0"
