timestamp,data
2024-08-30 18:19:46.951,"4,19,15,14,12,7,3,0,0,0,5,10,19,11,16,12,9,0,1,5,3,29,33,31,5,1,1,0,0,0,56,37,25,26,6,8,5,2,3,2,6,10,29,20,6,2,2,1,1,2,1,4,23,23,5,1,1,0,0,1,1,9,25,30,4,0,0,0,0,0,2,5,26,46,28,2,3,0,0,2,3,9,33,57,38,6,2,0,1,0,4,14,28,26,11,1,4,0,1,1,1,18,22,13,3,1,17,2,1,0,2,10,10,0,1,1,9,5,2,1,3,13,26,5,2,1,4,1,1,1,1,2,21,13,5,1,2,1,0,0,2,0,2,0,2,0,0,0,0,1,2,0,1,0,0,0,1,1,1,1"
2024-08-30 18:19:47.054,"4,20,16,13,12,8,3,0,0,0,5,10,19,12,16,12,9,0,1,5,3,29,32,31,5,1,1,0,0,0,57,37,24,25,6,8,5,1,3,2,6,10,29,20,5,3,3,0,1,2,1,5,24,23,5,1,1,0,0,1,1,9,24,30,4,0,0,0,0,0,2,5,26,46,27,2,3,0,0,2,3,10,33,56,38,6,2,0,0,0,4,14,28,26,11,1,4,0,1,0,1,19,22,13,3,1,17,2,1,0,2,10,10,0,1,0,9,5,2,1,3,13,26,5,2,1,4,1,1,1,1,2,22,13,5,1,2,1,0,0,2,0,2,0,1,0,0,0,0,0,2,0,1,0,0,0,1,1,1,1"
2024-08-30 18:19:47.113,"3,20,16,14,12,8,3,0,0,0,5,10,19,11,16,13,9,0,1,5,3,29,33,31,5,1,1,0,0,0,56,37,24,25,6,8,5,1,3,2,6,10,29,20,5,3,3,1,0,2,1,5,23,23,5,1,1,0,0,1,1,9,24,30,4,0,0,0,0,1,2,5,26,46,28,2,3,0,0,2,3,10,33,56,38,5,2,0,0,0,4,15,28,26,11,1,4,0,1,0,1,19,22,13,3,1,17,2,1,0,2,10,10,0,0,0,9,5,2,1,3,13,26,5,2,1,5,1,1,1,2,2,21,13,5,1,1,1,0,1,3,0,2,0,1,1,0,0,0,1,2,0,1,0,0,0,1,1,1,1"
2024-08-30 18:19:47.205,"3,20,16,13,12,8,3,0,0,1,5,10,19,12,16,12,8,1,1,5,3,29,33,31,5,1,1,0,0,0,56,37,25,25,6,8,5,1,3,2,6,10,29,20,5,2,3,1,1,2,1,5,23,23,5,1,1,0,0,1,1,9,24,30,4,0,0,0,0,1,2,5,26,46,28,2,3,0,0,2,3,10,33,56,38,6,2,0,0,0,3,14,28,26,11,1,4,0,1,0,1,21,22,13,3,1,17,2,0,0,2,10,10,0,0,0,9,5,2,1,3,13,26,5,2,1,4,1,1,1,1,2,22,13,4,1,2,1,0,0,2,0,2,0,1,0,0,0,0,1,2,0,1,0,0,0,1,1,1,2"
2024-08-30 18:19:47.284,"4,20,16,13,12,8,3,0,0,0,5,10,19,12,16,12,8,0,1,5,3,29,32,31,5,1,1,0,0,0,56,37,25,25,6,8,5,1,3,2,6,10,30,20,5,3,3,1,1,2,1,5,24,23,5,1,1,0,0,1,1,9,24,30,4,0,0,0,1,1,2,5,26,46,28,3,3,0,0,2,3,10,33,56,38,6,2,0,1,0,4,15,28,26,10,1,4,0,1,0,1,19,22,13,3,1,17,2,1,0,2,10,10,0,1,0,9,5,2,1,3,13,26,5,2,1,4,1,1,1,1,2,21,12,5,1,1,1,0,1,2,0,2,0,1,1,0,0,1,1,2,0,1,0,0,0,1,1,1,2"
2024-08-30 18:19:47.412,"4,20,16,13,12,8,3,0,0,0,5,10,19,12,16,12,8,0,1,6,3,29,33,31,5,1,1,0,0,0,56,37,25,26,6,8,5,1,3,2,6,10,30,20,6,3,3,1,1,2,1,5,23,23,5,1,1,0,0,1,1,9,25,30,4,0,0,0,0,0,2,5,26,46,27,2,3,0,0,2,4,9,33,56,38,5,2,0,1,0,3,15,28,26,10,1,4,0,1,0,1,19,22,13,2,1,17,2,1,0,1,11,10,0,1,0,9,5,2,1,3,14,27,5,1,0,5,1,1,1,1,2,21,12,4,1,2,2,0,1,2,0,2,0,1,0,0,0,0,0,2,0,1,0,0,0,1,1,1,2"
2024-08-30 18:19:47.440,"3,20,16,13,12,8,3,0,0,1,5,11,18,12,16,12,8,0,1,6,3,30,33,31,5,1,1,0,0,0,56,37,25,26,6,8,6,1,3,2,6,10,30,20,5,3,3,1,1,2,1,5,24,23,5,1,1,0,0,1,1,9,24,30,4,0,0,0,1,0,2,5,26,46,28,2,3,0,0,2,3,10,33,57,38,6,2,0,0,0,4,15,28,26,10,1,3,0,1,0,1,19,22,13,3,1,17,2,1,0,2,10,10,0,1,0,9,5,2,1,4,14,26,5,2,1,5,1,1,1,1,2,21,12,5,1,1,1,0,1,2,0,2,0,2,1,0,0,0,1,2,0,1,0,0,0,0,1,1,2"
2024-08-30 18:19:47.551,"4,20,16,14,12,8,3,0,0,1,5,11,19,12,16,12,8,1,1,5,3,29,33,32,6,1,1,0,0,0,56,37,24,26,6,8,5,1,3,2,6,10,29,20,5,3,3,1,1,2,1,5,23,23,5,1,0,0,0,1,1,9,25,30,4,1,0,0,1,1,2,5,26,46,28,3,3,0,0,2,3,9,33,56,38,6,2,0,1,0,3,14,28,26,10,1,4,0,1,0,1,19,22,12,2,1,17,2,1,1,2,12,10,0,0,1,9,5,2,1,4,14,26,5,2,1,5,1,1,1,1,3,22,12,5,1,1,1,0,1,2,0,2,0,1,1,0,0,1,1,2,1,1,0,0,0,1,1,2,2"
2024-08-30 18:19:47.632,"4,20,16,14,12,8,3,0,0,0,5,11,19,12,16,13,8,1,1,5,3,29,33,32,6,1,1,0,0,0,55,37,25,25,7,8,5,2,3,2,6,10,30,20,5,3,2,1,0,2,1,5,23,24,5,1,1,0,0,1,1,9,25,31,4,0,0,0,0,0,2,4,26,47,28,2,3,0,0,2,3,9,33,55,37,5,2,0,0,0,4,14,28,26,10,1,4,0,1,0,1,19,23,12,3,1,16,2,1,0,2,12,11,0,1,0,9,5,2,1,3,14,26,6,2,1,4,1,1,1,1,2,19,12,5,1,1,1,1,1,2,0,1,0,2,1,0,0,1,1,2,0,0,0,0,0,1,1,1,1"
2024-08-30 18:19:47.694,"3,20,16,14,12,8,3,0,0,0,5,11,19,12,16,13,9,0,1,5,3,29,34,32,6,1,1,0,0,0,53,37,25,25,7,8,5,1,2,2,6,9,30,20,5,3,2,1,1,2,1,5,24,23,5,2,0,0,1,1,1,9,24,30,4,0,0,0,0,0,2,5,26,47,28,2,3,0,0,1,3,9,33,56,38,5,2,0,0,0,3,15,29,26,10,1,3,0,1,1,2,20,23,13,3,1,16,2,1,0,2,17,11,0,1,0,8,5,2,1,3,15,26,5,2,1,4,1,1,1,1,2,15,11,3,1,1,1,0,1,2,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,1,1,1,2"
2024-08-30 18:19:47.846,"4,20,16,14,12,8,3,0,0,0,5,10,19,12,15,13,9,1,1,5,2,28,35,32,5,1,1,0,0,0,47,36,26,25,7,8,6,2,3,2,6,8,30,20,5,3,3,1,1,2,1,5,24,23,5,1,1,0,0,1,1,9,25,31,4,0,0,0,0,0,2,5,27,47,28,2,4,0,0,2,3,9,33,56,38,6,2,0,1,0,3,15,30,27,11,1,3,0,1,0,2,22,24,13,3,1,16,2,0,0,2,24,11,1,1,0,7,5,1,1,3,14,26,6,2,1,5,1,1,1,1,2,6,8,3,1,1,1,0,0,2,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2"
2024-08-30 18:19:47.877,"4,19,17,14,12,8,3,0,0,0,5,10,20,11,16,12,9,1,1,5,2,28,35,32,5,1,1,0,0,0,38,36,26,25,6,8,5,2,3,2,5,6,29,20,4,2,2,1,1,2,1,5,24,23,4,2,1,0,0,1,1,9,26,31,4,0,0,1,1,0,1,5,27,48,28,2,4,0,0,2,3,10,33,56,37,6,2,0,1,0,3,16,30,27,13,2,2,0,1,0,2,23,23,12,3,2,16,2,0,0,1,28,11,0,1,0,7,4,2,1,2,13,24,7,3,2,5,1,1,1,1,2,3,4,2,1,1,2,0,1,2,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,1,2"
